product,rarity,number,market price,listed median
Moon Wish (Blue),Common,ARC187,$0.40,—
Moon Wish (Red),Common,ARC185,$0.29,—
Moon Wish (Yellow),Common,ARC186,$0.30,—
Mordred Tide,Majestic,ARC081,$17.13,—
Nebula Blade // Runechant,Token,ARC077 // ARC112,$0.52,—
Nebula Blade // Teklo Plasma Pistol,Token,ARC077 // ARC003,—,—
Nebula Blade // Viserai,Token,ARC077 // ARC076,—,—
"Nebula Blade // Viserai, Rune Blood",Token,ARC077 // ARC075,—,—
Ninth Blade of the Blood Oath,Super Rare,ARC082,$6.84,—
Nock the Deathwhistle,Super Rare,ARC046,$7.14,—
Nullrune Boots,Common,ARC158,$1.72,—
Nullrune Gloves,Common,ARC157,$3.16,—
Nullrune Hood,Common,ARC155,$1.19,—
Nullrune Robe,Common,ARC156,$0.75,—
Oath of the Arknight (Blue),Rare,ARC093,$1.63,—
Oath of the Arknight (Red),Rare,ARC091,$0.70,—
Oath of the Arknight (Yellow),Rare,ARC092,$0.87,—
Optekal Monocle,Common,ARC037,$0.07,—
Over Loop (Blue),Common,ARC022,$0.50,—
Over Loop (Red),Common,ARC020,$0.33,—
Over Loop (Yellow),Common,ARC021,$0.35,—
Pedal to the Metal (Blue),Rare,ARC013,$0.35,—
Pedal to the Metal (Red),Rare,ARC011,$0.83,—
Pedal to the Metal (Yellow),Rare,ARC012,$1.00,—
Plunder Run (Blue),Rare,ARC172,$1.13,—
Plunder Run (Red),Rare,ARC170,$3.69,—
Plunder Run (Yellow),Rare,ARC171,$1.43,—
Pour the Mold (Blue),Rare,ARC016,$0.83,—
Pour the Mold (Red),Rare,ARC014,$0.09,—
Pour the Mold (Yellow),Rare,ARC015,$0.45,—
Pursuit of Knowledge,Super Rare,ARC161,$7.58,—
Push the Point (Blue),Common,ARC190,$0.40,—
Push the Point (Red),Common,ARC188,$0.95,—
Push the Point (Yellow),Common,ARC189,$0.33,—
Rapid Fire,Super Rare,ARC047,$4.60,—
Ravenous Rabble (Blue),Common,ARC193,$0.10,—
Ravenous Rabble (Red),Common,ARC191,$1.97,—
Ravenous Rabble (Yellow),Common,ARC192,$0.12,—
Read the Runes (Blue),Common,ARC111,$0.08,—
Read the Runes (Red),Common,ARC109,$0.82,—
Read the Runes (Yellow),Common,ARC110,$0.51,—
Red in the Ledger,Majestic,ARC043,$19.60,—
Reduce to Runechant (Blue),Rare,ARC090,$0.95,—
Reduce to Runechant (Red),Rare,ARC088,$0.59,—
Reduce to Runechant (Yellow),Rare,ARC089,$0.55,—
Reverberate (Blue),Common,ARC140,$0.50,—
Reverberate (Red),Common,ARC138,$0.40,—
Reverberate (Yellow),Common,ARC139,$0.50,—
Ridge Rider Shot (Blue),Common,ARC065,$0.50,—
Ridge Rider Shot (Red),Common,ARC063,$0.95,—
Ridge Rider Shot (Yellow),Common,ARC064,$0.31,—
Rifting (Blue),Common,ARC196,$0.10,—
Rifting (Red),Common,ARC194,$0.95,—
Rifting (Yellow),Common,ARC195,$0.50,—
Robe of Rapture,Common,ARC117,$0.55,—
Rune Flash (Blue),Common,ARC102,$0.06,—
Rune Flash (Red),Common,ARC100,$0.50,—
Rune Flash (Yellow),Common,ARC101,$0.43,—
Runechant // Teklo Plasma Pistol,Token,ARC112 // ARC003,$0.57,—
Runechant // Viserai,Token,ARC112 // ARC076,$0.15,—
"Runechant // Viserai, Rune Blood",Token,ARC112 // ARC075,—,—
Rusted Relic,Super Rare,ARC163,$2.76,—
Salvage Shot (Blue),Common,ARC068,$0.29,—
Salvage Shot (Red),Common,ARC066,$1.08,—
Salvage Shot (Yellow),Common,ARC067,$0.36,—
Scalding Rain (Blue),Common,ARC143,$0.37,—
Scalding Rain (Red),Common,ARC141,$0.67,—
Scalding Rain (Yellow),Common,ARC142,$0.50,—
Searing Shot (Blue),Common,ARC071,$0.86,—
Searing Shot (Red),Common,ARC069,$0.90,—
Searing Shot (Yellow),Common,ARC070,$0.50,—
Sic 'Em Shot (Blue),Common,ARC074,$1.99,—
Sic 'Em Shot (Red),Common,ARC072,$0.50,—
Sic 'Em Shot (Yellow),Common,ARC073,$1.99,—
Silver the Tip (Blue),Rare,ARC053,$0.45,—
Silver the Tip (Red),Rare,ARC051,$1.49,—
Silver the Tip (Yellow),Rare,ARC052,$0.50,—
Skullbone Crosswrap,Legendary,ARC041,$46.65,—
Sonic Boom,Majestic,ARC119,$20.25,—
Spark of Genius,Super Rare,ARC009,$10.40,—
Spellblade Assault (Blue),Rare,ARC087,$1.24,—
Spellblade Assault (Red),Rare,ARC085,$1.20,—
Spellblade Assault (Yellow),Rare,ARC086,$0.49,—
Spellblade Strike (Blue),Common,ARC105,$0.66,—
Spellblade Strike (Red),Common,ARC103,$0.85,—
Spellblade Strike (Yellow),Common,ARC104,$0.47,—
Stir the Aetherwinds (Blue),Rare,ARC131,$0.56,—
Stir the Aetherwinds (Red),Rare,ARC129,$0.72,—
Stir the Aetherwinds (Yellow),Rare,ARC130,$0.47,—
Storm Striders,Legendary,ARC116,"$1,295.48",—
Sun Kiss (Blue),Common,ARC214,$0.07,—
Sun Kiss (Red),Common,ARC212,$0.50,—
Sun Kiss (Yellow),Common,ARC213,$0.48,—
Take Aim (Blue),Rare,ARC056,$1.99,—
Take Aim (Red),Rare,ARC054,$1.34,—
Take Aim (Yellow),Rare,ARC055,$0.63,—
Take Cover (Blue),Rare,ARC050,$1.24,—
Take Cover (Red),Rare,ARC048,$1.14,—
Take Cover (Yellow),Rare,ARC049,$0.49,—
Talismanic Lens,Common,ARC151,$0.25,—
Teklo Core,Majestic,ARC007,$24.65,—
Teklo Foundry Heart,Legendary,ARC004,"$1,412.75",—
Teklo Plasma Pistol // Viserai,Token,ARC003 // ARC076,—,—
"Teklo Plasma Pistol // Viserai, Rune Blood",Token,ARC003 // ARC075,—,—
Three of a Kind,Majestic,ARC044,$22.94,—
Throttle (Blue),Common,ARC025,$0.72,—
Throttle (Red),Common,ARC023,$0.70,—
Throttle (Yellow),Common,ARC024,$0.79,—
Tome of Aetherwind,Super Rare,ARC122,$8.75,—
Tome of the Arknight,Super Rare,ARC084,$6.29,—
Vest of the First Fist,Common,ARC152,$0.63,—
Vigor Rush (Blue),Common,ARC199,$0.61,—
Vigor Rush (Red),Common,ARC197,$0.37,—
Vigor Rush (Yellow),Common,ARC198,$0.61,—
"Viserai // Viserai, Rune Blood",Token,ARC076 // ARC075,$0.95,—
Voltic Bolt (Blue),Common,ARC149,$0.78,—
Voltic Bolt (Red),Common,ARC147,$0.56,—
Voltic Bolt (Yellow),Common,ARC148,$0.07,—
Whisper of the Oracle (Blue),Common,ARC217,$0.49,—
Whisper of the Oracle (Red),Common,ARC215,$0.67,—
Whisper of the Oracle (Yellow),Common,ARC216,$0.62,—
Zap (Blue),Common,ARC146,$0.52,—
Zap (Red),Common,ARC144,$0.11,—
Zap (Yellow),Common,ARC145,$0.28,—
Zero to Sixty (Blue),Common,ARC028,$0.69,—
Zero to Sixty (Red),Common,ARC026,$0.68,—
Zero to Sixty (Yellow),Common,ARC027,$0.61,—
Zipper Hit (Blue),Common,ARC031,$0.38,—
Zipper Hit (Red),Common,ARC029,$0.58,—
Zipper Hit (Yellow),Common,ARC030,$0.83,—
Achilles Accelerator - FAB101,Promo,FAB101,—,—
Aether Quickening (Blue) - FAB114,Promo,FAB114,$89.26,—
Aether Quickening (Red) - FAB112,Promo,FAB112,$69.00,—
Aether Quickening (Yellow) - FAB113,Promo,FAB113,$43.67,—
Alluvion Constellas (Golden) - FAB084,Promo,FAB084,—,—
Amulet of Earth,Promo,LGS063,$3.75,—
Amulet of Ice,Promo,LGS064,$4.66,—
Amulet of Lightning,Promo,LGS065,$3.38,—
Anothos,Promo,LGS002,$66.85,—
Anothos (Golden),Promo,FAB061,—,—
Anothos // Romping Club,Promo,XXX005 // XXX006,—,—
Arakni - HER073,Promo,HER073,$48.45,—
"Arakni, Huntsman - HER074",Promo,HER074,$22.83,—
"Arakni, Solitary Confinement",Promo,HER082,$7.84,—
Arcanic Shockwave (Red) (Extended Art) - LGS079,Promo,LGS079,$14.81,—
Arcanite Skullcap (Golden),Promo,FAB007,—,—
Azalea,Promo,HER014,$69.94,—
Azalea - HER071,Promo,HER071,$79.12,—
"Azalea, Ace in the Hole",Promo,HER010,$150.00,—
"Azalea, Ace in the Hole (Rainbow)",Promo,HER018,$137.09,—
Banneret of Resilience - LGS179,Rare,LGS179,$4.95,—
Banneret of Salvation - LGS180,Promo,LGS180,$4.96,—
Banneret of Vigor - LGS181,Promo,LGS181,$4.95,—
Barbed Castaway (LGS129),Promo,LGS129,$10.53,—
Barbed Castaway (LGS133),Promo,LGS133,$23.33,—
Beast Mode - LGS146,Promo,LGS146,$9.60,—
"Benji, the Piercing Wind",Promo,HER026,$53.18,—
Blacktek Whisperers,Promo,FAB110,—,—
Blade Flash - LGS149,Promo,LGS149,$9.98,—
"Blasmophet, the Soul Harvester (FAB021)",Promo,FAB021,$87.79,—
"Blasmophet, the Soul Harvester (FAB041)",Promo,FAB041,$25.56,—
Blaze Headlong - FAB089,Promo,FAB089,$57.72,—
Blessing of Aether (Blue),Promo,LGS118,$0.57,—
Blessing of Aether (Red),Promo,LGS116,$1.05,—
Blessing of Aether (Yellow),Promo,LGS117,$0.84,—
Blessing of Deliverance (Blue),Promo,LGS025,$8.13,—
Blessing of Deliverance (Red) - LGS006,Promo,LGS006,$1.94,—
Blessing of Deliverance (Red) - LGS023,Promo,LGS023,$3.70,—
Blessing of Deliverance (Yellow),Promo,LGS024,$4.83,—
Bloodrot Pox,Promo,FAB133,$24.98,—
Bloodrot Pox // Frailty,Token,LGS125 // LGS126,$5.97,—
Blossom of Spring,Promo,LGS100,$15.31,—
Boltyn - HER035,Promo,HER035,$32.71,—
Bone Vizier - FAB106,Promo,FAB106,—,—
Boneyard Marauder (Red),Promo,FAB023,$20.48,—
Boulder Trap - LGS138,Promo,LGS138,$6.91,—
Braveforge Bracers (Golden),Promo,FAB006,—,—
Bravo - HER006,Promo,HER006,—,—
Bravo - HER055,Promo,HER006,$14.09,—
"Bravo, Showstopper",Promo,HER002,$649.99,—
"Bravo, Showstopper (Rainbow)",Promo,HER022,$67.54,—
Breaking Point (Extended Art),Promo,FAB091,$61.74,—
Briar - HER047,Promo,HER047,$50.65,—
Briar - HER064,Promo,HER064,—,—
"Briar // Briar, Warden of Thorns",Promo,XXX011/XXX012,$5.16,—
"Briar, Warden of Thorns - HER044",Promo,HER044,$93.59,—
"Briar, Warden of Thorns - HER050",Promo,HER050,$4.53,—
"Briar, Warden of Thorns - HER063",Promo,HER063,—,—
Brothers in Arms (Blue),Promo,FAB093,$8.18,—
Bull's Eye Bracers - FAB102,Promo,FAB102,—,—
Burgeoning (Blue),Promo,LGS071,$0.83,—
Burgeoning (Red),Promo,LGS069,$0.56,—
Burgeoning (Yellow),Promo,LGS070,$0.46,—
Carrion Husk (Golden),Promo,FAB018,—,—
Chane - HER037,Promo,HER037,$45.48,—
"Chane, Bound by Shadow",Promo,HER033,$115.28,—
"Chane, Bound by Shadow (Rainbow)",Promo,HER041,$6.96,—
Chief Ruk'utan - LGS145,Promo,LGS145,$14.16,—
Clearing Bellow - LGS147,Promo,LGS147,$9.16,—
Copper - FAB055,Promo,FAB055,$8.46,—
Coronet Peak (Golden) - FAB086,Promo,FAB086,—,—
Courage of Bladehold (Golden),Promo,FAB073,—,—
Cracked Bauble (2021 Holiday Promo),Token,LGS083,$2.46,—
Crater Fist - FAB107,Promo,FAB107,—,—
Crazy Brew,Promo,FAB016,$91.68,—
Crown of Dominion,Promo,FAB111,—,—
Crown of Providence (Golden) - FAB088,Promo,FAB088,—,—
Crown of Seeds (Golden),Promo,FAB052,"$2,499.00",—
Crow's Nest,Promo,LGS133,$7.04,—
Crucible of Aetherweave,Promo,LGS012,$57.87,—
Crucible of Aetherweave - FAB097,Promo,FAB097,—,—
Cut to the Chase (Blue),Promo,LGS115,$1.80,—
Cut to the Chase (Red),Promo,LGS113,$1.62,—
Cut to the Chase (Yellow),Promo,LGS114,$1.58,—
Dash,Promo,HER013,$94.51,—
Dash - HER070,Promo,HER070,$121.80,—
"Dash, Inventor Extraordinaire",Promo,HER009,—,—
"Dash, Inventor Extraordinaire (Rainbow)",Promo,HER017,$189.86,—
Data Doll MKII,Promo,HER027,$50.31,—
Dawnblade,Promo,LGS004,$52.67,—
Dawnblade (Golden),Promo,FAB062,—,—
Dawnblade // Harmonized Kodachi,Promo,XXX007 // XXX008,—,—
Death Dealer,Promo,LGS010,$117.23,—
Death Touch (Red),Promo,FAB132,$75.44,—
Dorinthea - HER008,Promo,HER008,—,—
Dorinthea - HER057,Promo,HER057,$50.86,—
Dorinthea // Bravo,Promo,XXX001 // XXX002,—,—
Dorinthea Ironsong,Promo,HER004,$500.00,—
Dorinthea Ironsong (Rainbow),Promo,HER024,$111.94,—
Driftwood Quiver - LGS137,Promo,LGS137,$4.56,—
Dromai,Promo,HER062,$34.95,—
"Dromai, Ash Artist - HER059",Promo,HER059,$192.34,—
"Dromai, Ash Artist - HER066",Promo,HER066,$160.00,—
Dusk Path Pilgrimage (Blue),Promo,LGS062,$1.39,—
Dusk Path Pilgrimage (Red),Promo,LGS060,$3.02,—
Dusk Path Pilgrimage (Yellow),Promo,LGS061,$1.28,—
Earthlore Bounty (Golden),Promo,FAB076,—,—
Ebon Fold (Golden),Promo,FAB072,$799.99,—
Eclipse Existence,Promo,LGS045,$4.29,—
Electrify,Promo,FAB048,$9.26,—
Embodiment of Earth,Promo,FAB118,—,—
Embodiment of Lightning,Promo,FAB119,$250.00,—
Emeritus Scolding (Blue) (Extended Art),Promo,LGS092,$3.24,—
Emeritus Scolding (Red) (Extended Art),Promo,LGS090,$2.75,—
Emeritus Scolding (Yellow) (Extended Art),Promo,LGS091,$0.54,—
En Garde - LGS148,Promo,LGS148,$9.10,—
Energy Potion,Promo,FAB012,$360.00,—
Even Bigger Than That (Blue),Rare,FAB060,$20.98,—
Even Bigger Than That (Red),Rare,FAB058,$32.11,—
Even Bigger Than That (Yellow),Rare,FAB059,$15.97,—
Fai,Promo,HER061,$21.40,—
"Fai, Rising Rebellion - HER058",Promo,HER058,$152.89,—
"Fai, Rising Rebellion - HER065",Promo,HER065,$114.55,—
Fate Foreseen (Red) - FAB024,Promo,FAB024,$449.00,—
Flail of Agony,Promo,LGS156,$16.48,—
Flamescale Furnace (Golden) - FAB087,Promo,FAB087,—,—
Frailty,Promo,FAB134,$15.00,—
Frostbite - FAB081,Promo,FAB081,—,—
Fyendal's Spring Tunic (Golden),Promo,FAB001,—,—
Fyendal's Spring Tunic (Rainbow),Promo,FAB002,—,—
Galaxxi Black,Promo,LGS046,$15.55,—
Gambler's Gloves (Golden),Promo,FAB074,—,—
Genis Wotchuneed,Promo,HER053,$16.12,—
Ghostly Visit (Blue) - FAB040,Promo,FAB040,—,—
Ghostly Visit (Red) - FAB038,Promo,FAB038,—,—
Ghostly Visit (Yellow) - FAB039,Promo,FAB039,—,—
Go Bananas,Promo,LSS002,$250.67,—
Gold,Promo,FAB121,$193.31,—
Goliath Gauntlet (Golden),Promo,FAB064,—,—
Good Deeds Don't Go Unnoticed,Promo,LSS006,$30.00,—
Grasp of the Arknight (Golden),Promo,FAB010,—,—
Hala Goldenhelm - LGS144,Promo,LGS144,$14.39,—
Harmonized Kodachi,Promo,LGS003,$57.08,—
Hatchet of Body,Promo,LGS049,$27.65,—
Hatchet of Mind,Promo,LGS050,$23.47,—
Haze Bending - LGS093,Promo,LGS093,$16.45,—
Head Jab (Blue),Promo,LGS019,$190.00,—
Head Jab (Red),Promo,LGS017,$150.00,—
Head Jab (Yellow),Promo,LGS018,$127.66,—
Heart of Ice (Golden),Promo,FAB053,"$2,499.00",—
Heartened Cross Strap (Golden),Promo,FAB063,—,—
Helio's Mitre,Promo,LGS103,$0.62,—
Hemorrhage Bore (Blue) - LGS121,Promo,LGS121,$1.32,—
Hemorrhage Bore (Red) - LGS119,Promo,LGS119,$1.34,—
Hemorrhage Bore (Yellow) - LGS120,Promo,LGS120,$1.31,—
Herald of Judgment - FAB028,Promo,FAB028,$41.50,—
Herald of Protection (Blue),Common,FAB031,$32.74,—
Herald of Protection (Red),Common,FAB029,$28.57,—
Herald of Protection (Yellow),Common,FAB030,$32.76,—
Herald of Ravages (Extended Art) (Blue),Promo,LGS155,$6.29,—
Herald of Ravages (Extended Art) (Red),Promo,LGS153,$5.80,—
Herald of Ravages (Extended Art) (Yellow),Promo,LGS154,$2.27,—
Herald of Rebirth (Blue) - FAB034,Promo,FAB034,$36.32,—
Herald of Rebirth (Red) - FAB032,Promo,FAB032,$20.15,—
Herald of Rebirth (Yellow) - FAB033,Promo,FAB033,$55.19,—
"Hummingbird, Call of Adventure",Promo,FAB094,$194.89,—
Ice Eternal,Promo,LGS110,$1.05,—
In the Swing (Red),Promo,FAB057,$12.01,—
Inertia,Promo,FAB135,$18.10,—
Inertia // Ponder,Token,LGS127 // LGS128,$3.99,—
Invigorate (Blue),Promo,LGS082,$1.94,—
Invigorate (Red),Promo,LGS080,$4.08,—
Invigorate (Yellow),Promo,LGS081,$2.31,—
"Ira, Crimson Haze",Promo,HER000,—,—
Iris of Reality,Promo,LGS048,$48.70,—
Iris of Reality - FAB098,Promo,FAB098,—,—
Iris of Reality - FAB156,Promo,FAB156,$32.00,—
Ironsong Response (Blue),Promo,LGS031,$21.68,—
Ironsong Response (Red) - LGS008,Promo,LGS008,$4.31,—
Ironsong Response (Red) - LGS029,Promo,LGS029,$16.01,—
Ironsong Response (Yellow),Promo,LGS030,$8.65,—
Iyslander,Promo,HER052,$14.27,—
"Iyslander, Stormbind - HER060",Promo,HER060,$539.84,—
"Iyslander, Stormbind - HER067",Promo,HER067,$148.32,—
"Jubeel, Spellbane - FAB137",Promo,FAB137,$230.00,—
Kano,Promo,HER016,$91.63,—
Kano - HER072,Promo,HER072,$177.25,—
"Kano, Dracai of Aether",Promo,HER012,—,—
"Kano, Dracai of Aether (Rainbow)",Promo,HER020,$144.04,—
"Kassai, Cintari Sellsword",Promo,HER029,$61.53,—
Katsu - HER007,Promo,HER007,—,—
Katsu - HER056,Promo,HER056,$25.98,—
"Katsu, the Wanderer",Promo,HER003,—,—
"Katsu, the Wanderer (Rainbow)",Promo,HER023,$87.95,—
"Kavdaen, Trader of Skins",Promo,HER028,$26.42,—
"Kayo, Berserker Runt",Promo,HER025,$34.45,—
Lace with Bloodrot (Red),Promo,LGS134,$2.70,—
Lace with Frailty (Red),Promo,LGS135,$6.18,—
Lace with Inertia (Red),Promo,LGS136,$3.32,—
Lady Barthimont,Promo,FAB045,$36.60,—
Levia - HER036,Promo,HER036,$57.94,—
"Levia, Shadowborn Abomination - HER032",Promo,HER032,$178.90,—
"Levia, Shadowborn Abominationn - HER040",Promo,HER040,$11.78,—
Lexi - HER046,Promo,HER046,$37.39,—
"Lexi, Livewire - HER043",Promo,HER043,$207.29,—
"Lexi, Livewire - HER049",Promo,HER049,$10.77,—
Life of the Party (Blue),Promo,LGS086,$0.57,—
Life of the Party (Red),Promo,LGS084,$1.12,—
Life of the Party (Yellow),Promo,LGS085,$0.55,—
Lord Sutcliffe,Promo,FAB046,$30.52,—
Luminaris - FAB109,Promo,FAB109,"$1,750.00",—
"Luminaris, Celestial Fury",Promo,LGS160,$21.68,—
Macho Grande (Blue),Promo,LGS089,$2.16,—
Macho Grande (Red),Promo,LGS087,$0.75,—
Macho Grande (Yellow),Promo,LGS088,$0.38,—
Mage Master Boots (Golden),Promo,FAB067,$799.00,—
Mask of Momentum (Golden),Promo,FAB005,—,—
Mask of the Pouncing Lynx - FAB079,Promo,FAB079,"$1,299.99",—
Merciful Retribution,Promo,FAB026,$132.51,—
Metacarpus Node - FAB108,Promo,FAB108,—,—
Minerva Themis,Promo,FAB044,$33.60,—
Nebula Blade,Promo,LGS011,$51.69,—
New Horizon (Golden),Promo,FAB050,—,—
Nullrune Boots (Golden),Promo,FAB071,$899.99,—
Nullrune Gloves (Golden),Promo,FAB070,—,—
Nullrune Hood (Golden),Promo,FAB068,$750.00,—
Nullrune Robe (Golden),Promo,FAB069,$499.99,—
Ode to Wrath,Promo,FAB027,$88.71,—
Oldhim,Promo,HER045,$35.68,—
"Oldhim, Grandfather of Eternity - HER042",Promo,HER042,$153.61,—
"Oldhim, Grandfather of Eternity - HER048",Promo,HER048,$7.72,—
Over Loop (Blue),Promo,LGS034,$2.78,—
Over Loop (Red) - LGS013,Promo,LGS013,$1.64,—
Over Loop (Red) - LGS032,Promo,LGS032,$9.74,—
Over Loop (Yellow),Promo,LGS033,$4.10,—
Parable of Humility,Promo,FAB025,$86.65,—
Passing Mirage - LGS094,Promo,LGS094,$30.08,—
Peace of Mind - FAB131,Promo,FAB131,$34.11,—
Pendulum Trap - LGS139,Promo,LGS139,$4.51,—
Phantasmal Footsteps (Golden),Promo,FAB019,"$3,999.00",—
Phantasmify (Blue) (Extended Art),Promo,LGS056,$1.20,—
Phantasmify (Red) (Extended Art),Promo,LGS054,$2.51,—
Phantasmify (Yellow) (Extended Art),Promo,LGS055,$2.11,—
Phoenix Flame,Promo,LGS104,$2.47,—
Pierce Reality - LGS095,Promo,LGS095,$18.23,—
Pink Visor,Promo,LSS007,—,—
Pitfall Trap - LGS151,Promo,LGS151,$6.58,—
Polar Blast (Blue),Promo,LGS074,$6.23,—
Polar Blast (Red),Promo,LGS072,$0.73,—
Polar Blast (Yellow),Promo,LGS073,$0.52,—
Potion of Strength,Promo,FAB013,$107.64,—
Predatory Streak (Blue),Promo,LGS124,$1.30,—
Predatory Streak (Red),Promo,LGS122,$2.61,—
Predatory Streak (Yellow),Promo,LGS123,$1.35,—
Prism - HER034,Promo,HER034,$81.52,—
"Prism, Advent of Thrones",Promo,HER084,$123.25,—
"Prism, Sculptor of Arc Light - HER030",Promo,HER030,$203.93,—
"Prism, Sculptor of Arc Light - HER038",Promo,HER038,$8.36,—
Proclamation of Abundance,Promo,JDG010,—,—
Proclamation of Requisition - JDG003,Promo,JDG003,$350.95,—
Proclamation of Requisition - JDG004,Promo,JDG004,$62.88,—
Pulping (Blue),Promo,LGS053,$1.25,—
Pulping (Red),Promo,LGS051,$9.11,—
Pulping (Yellow),Promo,LGS052,$0.54,—
Quicken // Harmonized Kodachi,Promo,XXX009 // XXX008,—,—
Quicksilver Dagger (LGS112),Promo,LGS112,$7.34,—
Rampart of the Ram's Head (Golden),Promo,FAB049,—,—
Ravenous Meataxe,Promo,LGS047,$36.77,—
Ray of Hope,Promo,LGS044,$5.04,—
Read the Ripples (Blue),Promo,FAB092,$49.95,—
Red Hot,Promo,LGS108,$0.64,—
Reduce to Runechant (Blue),Promo,LGS040,$3.22,—
Reduce to Runechant (Red) - LGS015,Promo,LGS015,$5.14,—
Reduce to Runechant (Red) - LGS038,Promo,LGS038,$17.41,—
Reduce to Runechant (Yellow),Promo,LGS039,$3.99,—
Regicide - FAB122,Promo,FAB122,$118.81,—
Release the Tension (Blue),Promo,LGS098,$1.61,—
Release the Tension (Red),Promo,LGS096,$4.49,—
Release the Tension (Yellow),Promo,LGS097,$0.59,—
Rhinar - HER005,Promo,HER005,$449.99,—
Rhinar - HER054,Promo,HER054,$17.26,—
Rhinar // Katsu,Promo,XXX003 // XXX004,—,—
"Rhinar, Reckless Rampage",Promo,HER001,—,—
"Rhinar, Reckless Rampage (Rainbow)",Promo,HER021,$65.00,—
Riptide - HER080,Promo,HER080,—,—
Riptide - HER081,Promo,HER081,$9.23,—
"Riptide, Lurker of the Deep - HER078",Promo,HER078,$76.69,—
Rise Up - LGS106,Promo,LGS106,$0.47,—
Rockslide Trap - LGS152,Promo,LGS152,$7.00,—
Romping Club,Promo,LGS001,$45.18,—
Romping Club - FAB095,Promo,FAB095,—,—
Rosetta Thorn,Promo,LGS068,$24.51,—
Rosetta Thorn - FAB099,Promo,FAB099,—,—
Run Through,Promo,LGS102,$2.04,—
"Ruu'di, Gem Keeper",Promo,LSS001,—,—
Sand Cover (Red),Promo,FAB090,$29.37,—
Sap (Blue),Promo,FAB117,$20.18,—
Sap (Red),Promo,FAB115,$19.37,—
Sap (Yellow),Promo,FAB116,$15.07,—
Scabskin Leathers (Golden),Promo,FAB003,—,—
Scar for a Scar,Promo,FAB015,$675.00,—
Searing Emberblade - LGS105,Promo,LGS105,$21.02,—
"Ser Boltyn, Breaker of Dawn - HER031",Promo,HER031,$148.04,—
"Ser Boltyn, Breaker of Dawn - HER039",Promo,HER039,$7.29,—
Shitty Xmas Present,Promo,LGS099,$1.29,—
Shiver,Promo,LGS067,$15.67,—
Shock Charmers (Golden),Promo,FAB054,"$2,799.00",—
Sic 'Em Shot (Blue),Promo,LGS037,$3.10,—
Sic 'Em Shot (Red) - LGS014,Promo,LGS014,$1.96,—
Sic 'Em Shot (Red) - LGS035,Promo,LGS035,$7.44,—
Sic 'Em Shot (Yellow),Promo,LGS036,$3.40,—
Silver - FAB056,Promo,FAB056,$4.67,—
Silver Palms (Golden),Promo,FAB077,—,—
Skullbone Crosswrap (Golden),Promo,FAB009,—,—
Snapdragon Scalers (Golden),Promo,FAB065,—,—
Soul Shackle,Promo,FAB120,$121.67,—
Spectral Shield - FAB082,Promo,FAB082,$153.17,—
Spellbound Creepers (Golden),Promo,FAB051,"$1,999.00",—
Spider's Bite,Promo,LGS111,$24.76,—
Spike with Bloodrot (LGS130),Promo,LGS130,$2.75,—
Spike with Frailty (LGS131),Promo,LGS131,$4.39,—
Spike with Inertia (LGS132),Promo,LGS132,$4.49,—
Spinning Wheel Kick (Blue) - LGS143,Promo,LGS143,$7.97,—
Spinning Wheel Kick (Red) - LGS141,Promo,LGS141,$22.13,—
Spinning Wheel Kick (Yellow) - LGS142,Promo,LGS142,$9.23,—
"Stalagmite, Bastion of Isenloft (Golden)",Promo,FAB078,"$2,499.00",—
Stir the Wildwood - FAB047 (Alternate Art),Promo,FAB047,$6.66,—
Storm of Sandikai,Promo,LGS107,$21.47,—
Storm Striders (Golden),Promo,FAB011,—,—
Strength of Sequoia (Red),Promo,LGS078,$79.50,—
"Taipanis, Dracai of Judgement - JDG001",Promo,JDG001,$250.33,—
"Taipanis, Dracai of Judgement - JDG002",Promo,JDG002,$127.31,—
Tales of Adventure,Promo,LSS005,$258.79,—
Talismanic Lens (Golden),Promo,FAB066,—,—
Tarpit Trap - LGS140,Promo,LGS140,$6.47,—
Tectonic Plating (Golden),Promo,FAB004,—,—
Teklo Foundry Heart (Golden),Promo,FAB008,"$4,999.00",—
Teklo Plasma Pistol,Promo,LGS009,$54.67,—
The Librarian,Promo,FAB043,$40.46,—
"Theryon, Magister of Justice",Promo,JDC008,$209.34,—
Tiger Stripe Shuko (Golden) - FAB083,Promo,FAB083,"$2,499.00",—
Timesnap Potion,Promo,FAB014,$232.98,—
Titan's Fist,Promo,LGS066,$22.76,—
Toxicity (Blue) - FAB130,Promo,FAB130,—,—
Toxicity (Red) - FAB128,Promo,FAB128,$53.31,—
Toxicity (Yellow) - FAB129,Promo,FAB129,—,—
Tripwire Trap - LGS150,Promo,LGS150,$6.73,—
"Ursur, the Soul Reaper - FAB022",Promo,FAB022,$60.75,—
"Ursur, the Soul Reaper - FAB042",Promo,FAB042,$14.48,—
Uzuri - HER076,Promo,HER076,$60.20,—
Uzuri - HER083,Promo,HER083,$8.55,—
"Uzuri, Switchblade - HER077",Promo,HER077,$197.09,—
Valda Brightaxe,Promo,HER051,$15.48,—
Valiant Dynamo (Golden),Promo,FAB020,"$5,000.00",—
Vantom Banshee (Blue) (Extended Art),Promo,LGS159,$4.00,—
Vantom Banshee (Red) (Extended Art),Promo,LGS157,$4.31,—
Vantom Banshee (Yellow) (Extended Art),Promo,LGS158,$3.99,—
